NCT_Number,Study_Title,Study_Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder_Type,Study_Type,Study_Design,Start_Date,Primary_Completion_Date,Completion_Date,First_Posted,Last_Update_Posted,Locations
NCT07290231,Effects of Core Strengthening Exercises With Diapgragmatic Breathing Versus Core Strengthening Exercises With Pilate Breathing in Diabetes Type II Patients,RECRUITING,Diabetes Type II,OTHER: Core Strengthening with Diaphragmatic Breathing|OTHER: core strengthening with pilate breathing,Foundation University Islamabad,,ALL,ADULT,NA,56,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: SINGLE (PARTICIPANT) | Primary Purpose: TREATMENT,06-08-2025,03-01-2026,10-02-2026,18-12-2025,18-12-2025,"Foundation University College of Physical Therapy, Islamabad, 44000, Islamabad, Pakistan"
NCT02074540,The Influence of Health Beliefs and Uncertainty on Diabetes Type II Patient Compliance,UNKNOWN,Diabetes Type II,OTHER: Questionnaire,Hillel Yaffe Medical Center,,ALL,"ADULT, OLDER_ADULT",,100,OTHER_GOV,OBSERVATIONAL,Observational Model: CASE_ONLY | Time Perspective: PROSPECTIVE,2014-04,2014-08,2014-12,28-02-2014,28-02-2014,
NCT02326129,Novel Biomarker for Development of T2D,COMPLETED,Diabetes Type II,,Duke University,Children's Miracle Network|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),ALL,"CHILD, ADULT",,202,OTHER,OBSERVATIONAL,Observational Model: CASE_CONTROL | Time Perspective: PROSPECTIVE,2015-02,05-04-2023,05-04-2023,25-12-2014,07-08-2023,"Pennington Biomedical Research center, Baton Rouge, Louisiana, 70803, United States|UNC Chapel Hill, Chapel Hill, North Carolina, 27514, United States|Duke University, Durham, North Carolina, 27710, United States"
NCT06864546,A Participatory Approach to Support Glucose Tolerance Tracking in Real-Life of Patients With Type 2 Diabetes,RECRUITING,"Type 2 Diabetes Mellitus, Non Insulin Dependent",BEHAVIORAL: Physical activity intervention,Enea Parimbelli,Istituti Clinici Scientifici Maugeri SpA|University of Padova,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: BASIC_SCIENCE,2025-05,2025-12,15-01-2026,07-03-2025,30-04-2025,"Istituti Clinici Scientifici Maugeri di Pavia, Pavia, Pavia, 27100, Italy"
NCT04501341,BM-MNC and UCMSC for Type 2 Diabetes Mellitus Patients,UNKNOWN,T2D,"BIOLOGICAL: Bone-marrow aspiration, Intra-pancreatic Catheterisation of BM-MNC|BIOLOGICAL: Intravenous Infusion of UC-MSC",Indonesia University,Dr Cipto Mangunkusumo General Hospital,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,15,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,14-03-2016,01-12-2021,01-12-2021,06-08-2020,06-08-2020,"Faculty of Medicine, Universitas Indonesia, Jakarta Pusat, DKI Jakarta, 10430, Indonesia"
NCT02361489,Clinical Study to Compare Various Dosing and Titration Guidelines of Insulin Delivered Via V-Go ® in Patients With Type 2 Diabetes Initiating Basal Bolus Therapy in Primary Care Offices,UNKNOWN,Diabetes Type II,DEVICE: V-Go,"Valeritas, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE4,90,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,2015-02,2016-02,2016-04,11-02-2015,11-02-2015,"Geisinger, Wilkes-Barre, Pennsylvania, 18702, United States"
NCT01713764,A Pilot Study of the Effects of Diet and Behavioral Interventions on Health in Diabetics,COMPLETED,Diabetes Type II,BEHAVIORAL: Low Carbohydrate Diet|BEHAVIORAL: American Diabetes Association Diet|BEHAVIORAL: Mindfulness and Positive Affect Skills,"University of California, San Francisco",,ALL,"ADULT, OLDER_ADULT",PHASE2,34,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,2012-10,2013-11,2013-11,25-10-2012,30-12-2013,"Osher Center for Integrative Medicine, San Francisco, California, 94143, United States"
NCT01121315,A Retrospective Study of Cardiovascular Events Related to the Use of Glucose Lowering Drug Treatment in Primary Care,COMPLETED,Diabetes Type II,,AstraZeneca,,ALL,"CHILD, ADULT, OLDER_ADULT",,58326,INDUSTRY,OBSERVATIONAL,Time Perspective: RETROSPECTIVE,2010-05,2011-08,2011-08,12-05-2010,11-05-2012,"Research Site, Uppsala, Sweden"
NCT05767372,Effect of Coherent Breathing on Elderly Quality of Life,COMPLETED,Stable Diabetes Mellitus|Geriatrics|Hypertension,OTHER: Coherent Breathing Exercise|DEVICE: Inspiratory muscle training,Cairo University,,ALL,"ADULT, OLDER_ADULT",NA,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: SINGLE (PARTICIPANT) | Primary Purpose: TREATMENT,01-03-2023,15-06-2023,30-06-2023,14-03-2023,13-09-2023,"Faculty of physical therapy outpatient clinic, Cairo, Giza Governorate, 12613, Egypt"
NCT05980754,Clinical Study on Exploring High Risk Factors Inducing the Progress of Diabetes,UNKNOWN,T2D,,Peking University Third Hospital,,ALL,"ADULT, OLDER_ADULT",,90,OTHER,OBSERVATIONAL,Observational Model: OTHER | Time Perspective: CROSS_SECTIONAL,20-05-2024,30-12-2025,30-12-2025,08-08-2023,15-03-2024,
NCT04790526,Dose Response of Eccentric Exercise on Glycemic Control in Type II Diabetes Mellitus,COMPLETED,Type II Diabetes Mellitus,OTHER: Eccentric Exercises Dose,Riphah International University,,ALL,"ADULT, OLDER_ADULT",NA,59,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER) | Primary Purpose: PREVENTION",12-07-2021,30-03-2023,25-05-2023,10-03-2021,10-07-2023,"Rehabilitation Department, PSRD Hospital, Lahore, Punjab Province, 54000, Pakistan"
NCT07084350,Combination of Lactulose and Polyethylene Glycol Electrolytes Powder (PEG-ELS) for Bowel Preparation in Type II Diabetes Mellitus Patients,NOT_YET_RECRUITING,Type II Diabetes Mellitus,DRUG: lactulose|DRUG: PEG (solution given 4 L),General Hospital of Shenyang Military Region,,ALL,"ADULT, OLDER_ADULT",NA,254,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: SINGLE (CARE_PROVIDER) | Primary Purpose: OTHER,25-08-2025,25-01-2026,25-07-2026,24-07-2025,14-08-2025,"Department of Gastroenterology, General Hospital of Northern Theater Command (formerly called General Hospital of Shenyang Military Area), Shenyang, Liaoning, 110840, China"
NCT02446054,A Study to Evaluate the Effect of Musashino Diabetes Diet in Type II Diabetes Mellitus Disease,COMPLETED,Type II Diabetes Mellitus,DIETARY_SUPPLEMENT: Musashino T2DM diet,Celio Technology Inc.,,ALL,ADULT,NA,30,INDUSTRY,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: SUPPORTIVE_CARE,2014-02,2015-09,2015-12,15-05-2015,28-01-2016,"NTUH, Taipei, Taiwan"
NCT04011904,The Role of Traditional or Western Diet in the TBC1D4 Gene on Glucose Homeostasis in Greenland Inuits,COMPLETED,T2D,OTHER: Cross-over study,University of Copenhagen,Steno Diabetes Center Copenhagen|Novo Nordisk A/S,ALL,"ADULT, OLDER_ADULT",NA,64,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: CROSSOVER | Masking: SINGLE (INVESTIGATOR) | Primary Purpose: PREVENTION,15-04-2019,23-11-2020,23-11-2020,09-07-2019,25-11-2020,"Department of Exercise, Nutrition and Sports, Faculty of Sciences, University of Copenhagen, Copenhagen, Denmark"
NCT07282743,Efficacy and Safety of GL0034 in Overweight or Obese Adults With Type II Diabetes Mellitus,RECRUITING,Type II Diabetes Mellitus,DRUG: GL0034 Dose Level 1|DRUG: GL0034 Dose Level 2|DRUG: GL0034 Dose Level 3|DRUG: GL0034 Dose Level 4|DRUG: GL0034 Dose Level 5|DRUG: GL0034 Dose Level 6|OTHER: Placebo,Sun Pharmaceutical Industries Limited,,ALL,"ADULT, OLDER_ADULT",PHASE2,285,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR) | Primary Purpose: TREATMENT",20-01-2026,2027-04,2027-08,15-12-2025,18-03-2026,"Lynn Institute of the Ozarks, Little Rock, Arkansas, 72204, United States|Family First Medical Research Center, Hialeah Gardens, Florida, 33175, United States|Alliance for Multispecialty Research (AMR Clinical) - Wichita East, Lakeland, Florida, 33803, United States|CNS Healthcare - Memphis (Clinical Neuroscience Solutions - Memphis), Lakeland, Florida, 33803, United States|GTL Medical & Research Group, Miami, Florida, 33173, United States|Florida Institute for Clinical Research LLC, Orlando, Florida, 32835, United States|AMR Clinical, El Dorado, El Dorado, Kansas, 67042, United States|AMR Clinical - Newton, Newton, Kansas, 67114, United States|Lynn Health Science Institute - Oklahoma City, Oklahoma City, Oklahoma, 73112, United States|Endolife Specialty Hospitals Pvt. Ltd., Guntur, Andhra Pradesh, 522001, India|Life Care Hospital and Research Centre, Bangalore, Karnataka, 560092, India|Government Medical College, Kozhikode, Kerala, 673008, India|Jothydevs Diabetes Research Centre, Trivandrum, Kerala, 695032, India|Nirmal Hospital Private Limited, Kolhāpur, Maharashtra, 416008, India|Topiwala National Medical College & BYL Nair Hospital, Mumbai, Maharashtra, 400008, India|Seth G. S. medical college and KEM hospital, Mumbai, Maharashtra, 400012, India|BSES Municipal General Hospital, Mumbai, Maharashtra, 400058, India|LMMF's Deenanath Mangeshkar Hospital and Research Center, Pune, Maharashtra, 411004, India|Lady Hardinge Medical College and S.S.K. Hospital, New Delhi, National Capital Territory of Delhi, 110001, India|All India Institute of Medical Sciences, New Delhi, National Capital Territory of Delhi, 110029, India|Madras Diabetes Research Foundation (MDRF), Chennai, Tamil Nadu, 600086, India"
NCT03194152,Peanut Consumption and Cardiovascular Disease Risk in a Chinese Population,COMPLETED,T2D,DIETARY_SUPPLEMENT: Peanut|DIETARY_SUPPLEMENT: Control,Harvard School of Public Health (HSPH),,ALL,"ADULT, OLDER_ADULT",NA,238,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: PREVENTION,24-10-2017,01-03-2018,01-03-2018,21-06-2017,28-02-2019,"Liang Sun, Shanghai, 200040, China"
NCT06387550,Effects of Eccentric Training on Glycemic Control and Quality of Life in Patients With Type II Diabetes Mellitus,UNKNOWN,Type II Diabetes Mellitus,PROCEDURE: Eccentric Training,Foundation University Islamabad,,ALL,"ADULT, OLDER_ADULT",NA,24,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,20-03-2024,01-07-2024,15-07-2024,29-04-2024,29-04-2024,"Foundation University College of Physical Therapy, Rawalpindi, Punjab Province, 46000, Pakistan"
NCT04665284,Safety And Efficacy Of Empagliflozin In Pakistani Muslim Population With Type Ii Diabetes Mellitus,COMPLETED,Type II Diabetes Mellitus,DRUG: Empagliflozin|DRUG: Usual care group,Getz Pharma,,ALL,"ADULT, OLDER_ADULT",PHASE4,244,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,01-06-2019,15-09-2020,28-09-2020,11-12-2020,11-12-2020,"Balochistan Medical Center, Quetta, Balochistan, Pakistan|Lady Reading Hospital, Peshawar, Khyber Pakhtunkhwa, Pakistan|Post Graduate Medical Institute, Peshawar, Khyber Pakhtunkhwa, Pakistan|Hanif Medical Center, Islamabad, Punjab Province, Pakistan|Shifa International Hospital, Islamabad, Punjab Province, Pakistan|Diabetes Institute of Pakistan, Lahore, Punjab Province, Pakistan|Jinnah Hospital, Lahore, Punjab Province, Pakistan|National Defence Center, Lahore, Punjab Province, Pakistan|Al-Khaliq Hospital, Multan Khurd, Punjab Province, Pakistan|Fatimiyah Hospital, Karachi, Sindh, Pakistan|National Institute of Cardiovascular Disease, Karachi, Sindh, Pakistan"
NCT07495956,cfMSC Therapy for Diabetes,RECRUITING,Type II Diabetes Mellitus,BIOLOGICAL: cfMSC therapy for diabetes,Shenzhen Geno-Immune Medical Institute,,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,30,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,16-03-2026,31-03-2029,30-04-2030,27-03-2026,27-03-2026,"Shenzhen Geno-immune Medical Institute, Shenzhen, Guangdong, 518000, China"
NCT00540462,Prospective Randomized Trials of Gastric Bypass Surgery in Patients With Type II Diabetes Mellitus,UNKNOWN,Type II Diabetes Mellitus,PROCEDURE: gastric bypass|PROCEDURE: sleeve gastrectomy,Min-Sheng General Hospital,,ALL,ADULT,PHASE4,120,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT",2007-08,2008-08,2008-12,08-10-2007,14-11-2008,"MinSheng Genral Hospital, Taoyuan, Taiwan"
NCT01868646,Clinical Trial of Efficacy and Safety of Subetta in the Combined Treatment of Patients With Type II Diabetes Mellitus,COMPLETED,Type II Diabetes Mellitus,DRUG: Subetta|DRUG: Placebo,Materia Medica Holding,,ALL,"ADULT, OLDER_ADULT",PHASE4,190,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: SUPPORTIVE_CARE",07-05-2013,15-06-2016,15-06-2016,04-06-2013,31-05-2019,"State Healthcare Institution of Moscow ""Central research institute of gastroenterology"" of Department of health care of Moscow, Moscow, 111123, Russia|State Educational Institution of Higher Professional Education ""Moscow State Medical Academy named after I.M. Sechenov"", Moscow, 119991, Russia|Nonstate Health Care Institution ""Central Clinical Hospital №2 named after N.A. Semashko of Public Limited Company ""Russian Railways"", Moscow, 129128, Russia|Municipal budgetary authority ""Khimki Central Clinical Hospital"", Moscow Region, 141400, Russia|Nizhny Novgorod regional State Budgetary Health Institution "" Nizhny Novgorod regional Clinical Hospital named after N.A. Semashko "", Nizhny Novgorod Region, 603126, Russia|State Budgetary Educational Institution of High Professional Training ""Rostov State Medical University"" of Ministry of Health of Russian Federation, Department of Endocrinology, Rostov-on-Don, 344022, Russia|St. Petersburg State Budgetary Health Care Institution ""City Polyclinic №6"", Saint Petersburg, 191482, Russia|St. Petersburg State Budgetary Health Care Institution ""City Polyclinic №77 of Nevsky District"", The City Diabetes Center №4, Saint Petersburg, 192177, Russia|St. Petersburg State Budgetary Health Care Institution ""Saint Venerable Martyr Elizaveta Municipal Hospital"", Saint Petersburg, 195257, Russia|State Budgetary Educational Institution of High Professional Training ""St. Petersburg State Medical University named after academician I.P. Pavlov"" of Ministry of Health of Russian Federation, Therapy Faculty Board, Saint Petersburg, 197022, Russia|St. Petersburg Sate Budgetary Institution ""Consultative-Diagnostic Polyclinic №1 of Coastal Area"", Saint Petersburg, 197183, Russia|St. Petersburg State Budgetary Health Care Institution ""Consultative-Diagnostic Center № 85"", Diabetes Center №2, Saint Petersburg, 198260, Russia|Co.Ltd "" Diabet Center"", Samara, 443067, Russia|The State Budgetary Educational Institution of Higher Professional Education ""Smolensk National Research Medical University"" Ministry of Health of the Russian Federation, Smolensk, 214019, Russia|Vladimir region State budgetary institution of health care ""Regional clinical hospital"", Vladimir, 600023, Russia|Independent Health Care Institution of Voronezh Region ""Voronezh Regional Clinical Consultative-Diagnostic Center"", Voronezh, 394018, Russia|State Budgetary Health Care Institution of Yaroslavl Region ""Regional Сlinical Hospital"", Yaroslavl, 150062, Russia"
NCT05252728,"Altered Faecal Microbiome and Metabolome in CT1D, AT1D and T2D",COMPLETED,Type 1 Diabetes Mellitus Maturity Onset,,Second Xiangya Hospital of Central South University,,ALL,"CHILD, ADULT, OLDER_ADULT",,372,OTHER,OBSERVATIONAL,Observational Model: CASE_CONTROL | Time Perspective: CROSS_SECTIONAL,01-02-2019,30-04-2022,30-04-2022,23-02-2022,11-07-2023,"Institute of Metabolism and Endocrinology, Second Xiangya Hospital, Central South University, Changsha, Hunan, 410011, China"
NCT00726505,Renal Mechanism of Action/Splay vs. TmG,TERMINATED,"Diabetes, NOS",DRUG: Dapagliflozin,AstraZeneca,Bristol-Myers Squibb,ALL,"ADULT, OLDER_ADULT",PHASE1,1,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: DIAGNOSTIC,2009-06,2009-08,2009-08,01-08-2008,17-10-2016,"University Of Texas Health Center At San Antonio, San Antonio, Texas, 78229, United States"
NCT02879383,Effect of Duodenal Mucosal Resurfacing (DMR) Using the Revita System in the Treatment of Type 2 Diabetes (T2D),COMPLETED,"Diabetes Mellitus, Type 2|Noninsulin-Dependent Diabetes Mellitus",PROCEDURE: DMR Procedure|PROCEDURE: Sham Procedure,Fractyl Health Inc.,,ALL,"ADULT, OLDER_ADULT",NA,109,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: CROSSOVER | Masking: DOUBLE (PARTICIPANT, INVESTIGATOR) | Primary Purpose: TREATMENT",01-03-2017,20-12-2019,20-12-2019,25-08-2016,14-02-2024,"Hopital Erasme, Brussels, 1070, Belgium|UZ Leuven, Leuven, Belgium|ABC Hospital, São Paulo, Brazil|Hospital das Clinicas da Faculdade de medicina da Universidade de São Paulo, São Paulo, Brazil|Policlinico Gemelli (Sacro Cuore), Rome, Lazio, Italy|Humanitas Research Hospital & Humanitas University Via Manzoni 56, Rozzano, Milan, 20089, Italy|Amsterdam University Medical Center, Amsterdam, 1105 AZ, Netherlands|Glasgow Royal Infirmary, Glasgow, G4 0SF, United Kingdom|University College London Hospitals, London, NW1 2BU, United Kingdom|King's College, Denmark Hill, London, United Kingdom|Queens Medical Centre campus, Nottingham University Hospitals NHS Trust, Derby Road, Nottingham, NG7 2UH, United Kingdom"
NCT06570057,Feasibility Trial in Urban Pakistan for Community Engagement in Preventing Type II Diabetes and Risk Factors,RECRUITING,Type II Diabetes Mellitus,"BEHAVIORAL: Participatory, learning and Action (PLA) Based intervention",Baqai Institute of Diabetology and Endocrinology,"University of York|Khyber Medical University Peshawar|HealthNet TPO|National Institute for Health Research, United Kingdom|Aga Khan University Hospital, Pakistan",ALL,"ADULT, OLDER_ADULT",NA,240,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: PREVENTION,24-06-2024,2026-11,2027-10,26-08-2024,26-08-2024,"Baqai Institute of Diabetology and Endocrinology (BIDE), Karachi, Sindh, 74600, Pakistan"
NCT07340320,A Study of CX11 Tablets in Patients With Type 2 Diabetes Mellitus,RECRUITING,Type II Diabetes Mellitus,DRUG: CX11|OTHER: Placebo,Corxel Pharmaceuticals,,ALL,"ADULT, OLDER_ADULT",PHASE2,240,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (PARTICIPANT, INVESTIGATOR) | Primary Purpose: TREATMENT",06-02-2026,23-12-2026,07-01-2027,14-01-2026,28-05-2026,"Central Research Associates - Flourish - PPDS, Birmingham, Alabama, 35205-1605, United States|AES - DRS - Synexus Clinical Research US, Inc. - Birmingham, Birmingham, Alabama, 35211-1320, United States|AES - DRS - Optimal Research Alabama - Huntsville, Huntsville, Alabama, 35802-2569, United States|Ark Clinical Research - Long Beach, Long Beach, California, 90815-2521, United States|Flourish Research - Walnut Creek - PPDS, Walnut Creek, California, 94598-3343, United States|AES - DRS - Optimal Research Florida - Melbourne, Melbourne, Florida, 32934-8172, United States|Tampa General Hospital, Tampa, Florida, 33606-3571, United States|Conquest Research LLC - Winter Park, Winter Park, Florida, 32789-1857, United States|Privia Medical Group Georgia, LLC - Albany - Javara - PPDS, Albany, Georgia, 31707-0205, United States|Javara Inc. - Fayetteville, Fayetteville, Georgia, 30214, United States|Privia Medical Group Georgia, LLC - Savannah - Javara - PPDS, Savannah, Georgia, 31406-3928, United States|Privia Medical Group Georgia, LLC - Thomasville - Javara - PPDS, Thomasville, Georgia, 31792-6618, United States|AES - DRS - Synexus Clinical Research US, Inc. - Chicago, Chicago, Illinois, 60602-3960, United States|AES - DRS - Synexus Clinical Research US, Inc. - Evansville, Evansville, Indiana, 47714-7513, United States|Privia Medical Group, LLC - Kelly's Collaborative Care - Javara - PPDS, Silver Spring, Maryland, 20901-1586, United States|Elixia Health - Springfield - Elixia - PPDS, Springfield, Massachusetts, 01103, United States|Elixia Health - Michigan Kidney Consultants, LLC - Elixia - PPDS, Pontiac, Michigan, 48341, United States|AES - DRS - Synexus Clinical Research US, Inc. - Edina - Minneapolis, Edina, Minnesota, 55435-4305, United States|Mankato Clinic - East Main Street - Javara - PPDS, Mankato, Minnesota, 56001, United States|Hassman Research Institute - Berlin - CenExel - PPDS, Berlin, New Jersey, 08009, United States|Albuquerque Clinical Trials Inc, Albuquerque, New Mexico, 87102-2619, United States|M3 Wake Research, Inc - M3 WR, Raleigh, North Carolina, 27612-8106, United States|Unity Clinical Research, Oklahoma City, Oklahoma, 73118-2872, United States|Monroe Biomedical Research Charleston, North Charleston, South Carolina, 29406, United States|M3 Wake Research - Dallas, Dallas, Texas, 75246, United States|University of Texas Southwestern Medical Center, Dallas, Texas, 75390-7202, United States|SMS Clinical Research, LLC - 400 W. Kearney St, Mesquite, Texas, 751497, United States|AES - DRS - Synexus Clinical Research US, Inc. - San Antonio, San Antonio, Texas, 78229-3272, United States|Flourish Research - San Antonio - PPDS, San Antonio, Texas, 78229-3539, United States|Privia Medical Group- North Texas - Stephenville - Javara - PPDS, Stephenville, Texas, 76401-1860, United States|Conquest Research - Arlington, Vienna, Virginia, 22182, United States|AES - DRS - Synexus Polska Sp. z o.o. Oddzial w Poznaniu, Poznan, Greater Poland Voivodeship, 60-702, Poland|Centrum Medyczne Pratia Bydgoszcz - PPDS, Bydgoszcz, Kuyavian-Pomeranian Voivodeship, 85 001, Poland|Medyczne Centrum Diabetologiczno-Endokrynologiczno-Metaboliczne, Krakow, Lesser Poland Voivodeship, 31-261, Poland|FutureMeds - Krakow - PPDS, Krakow, Lesser Poland Voivodeship, 31-501, Poland|METABOLICA Sp. z o.o, Tarnów, Lesser Poland Voivodeship, 33-100, Poland|AES - DRS - Synexus Polska Sp. z o.o. Oddzial we Wroclawiu, Wroclaw, Lower Silesian Voivodeship, 50-381, Poland|AES - DRS - Synexus Polska Sp. Z o.o. Oddzial w Lodzi, Lodz, Lódzkie, 90-127, Poland|FutureMeds - Lodz - PPDS, Lodz, Lódzkie, 91-363, Poland|FutureMeds - Warszawa Centrum - PPDS, Warsaw, Masovian Voivodeship, 00-215, Poland|AES - DRS - Synexus Polska Sp. z o.o. Oddzial w Warszawie, Warsaw, Masovian Voivodeship, 02-672, Poland|ETG Warszawa - PPDS, Warsaw, Masovian Voivodeship, 02-677, Poland|AES - DRS - Synexus Polska Sp. z o.o. Oddzial w Gdansku, Gdansk, Pomeranian Voivodeship, 80-382, Poland|AES - DRS - Synexus Polska Sp. z o.o. Oddzial w Gdyni, Gdynia, Pomeranian Voivodeship, 81-537, Poland|AES - DRS - Synexus Polska Sp. z o.o. Oddzial w Czestochowie, Częstochowa, Silesian Voivodeship, 42-202, Poland"
NCT07047248,Short- and Long-Term Effects of Whole-Body Photobiomodulation in Type II Diabetes Patients: A Protocol for a Controlled Clinical Trial,NOT_YET_RECRUITING,Type II Diabetes Mellitus,DEVICE: PBM|OTHER: Placebo PBM,University of Malaga,clinical professor,ALL,"ADULT, OLDER_ADULT",NA,44,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT",30-08-2025,30-09-2025,30-01-2026,02-07-2025,02-07-2025,"Dr, Granada, Spain"
NCT00960791,"Study to Assess the Absorption, Distribution, Metabolism and Excretion of AZD1656 in Type 2 Diabetes Mellitus (T2DM)",COMPLETED,Type II Diabetes Mellitus,DEVICE: AZD1656,AstraZeneca,,MALE,"ADULT, OLDER_ADULT",PHASE1,6,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,2009-07,,2009-09,18-08-2009,16-09-2009,"Research Site, San Diego, California, United States|Research Site, San Antonio, Texas, United States"
NCT06869018,A Study of LY3549492 in Japanese Participants With Type 2 Diabetes Mellitus (T2D) and Healthy Japanese Participants,COMPLETED,Healthy|Type 2 Diabetes Mellitus (T2D),DRUG: LY3549492|DRUG: Placebo,Eli Lilly and Company,,ALL,"ADULT, OLDER_ADULT",PHASE1,92,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (PARTICIPANT, INVESTIGATOR) | Primary Purpose: BASIC_SCIENCE",07-05-2025,02-03-2026,02-03-2026,11-03-2025,20-03-2026,"Hakata Clinic, Fukuoka, 812-0025, Japan|P-One Clinic, Hachiōji, 192-0071, Japan|Medical Corporation Heishinkai OPHAC Hospital, Osaka, 532-0003, Japan|Clinical Research Hospital Tokyo, Shinjuku-ku, 160-0004, Japan"
NCT00737152,Evaluate the Side Effects and Benefits of RAS 130 With or Without Diet and Exercise in Type II Diabetes Mellitus,UNKNOWN,Type II Diabetes Mellitus,OTHER: RAS 130 with diet and exercise,American Scitech International,Proactive Clinical Research,ALL,ADULT,PHASE2,460,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,2011-07,2014-04,2014-04,18-08-2008,20-07-2011,"MedCenter, East Brunswick, New Jersey, 08816, United States|Robertwood Johnson Hospital, New Brunswick, New Jersey, 08901, United States|Raritan Bay Medical Center, Perth Amboy, New Jersey, 08861, United States|Sri Ramachandra University, Porur, Chennai, India|Dr. JL Rohatagi Hospital, Sarvoday Nagar, Kanpur, Uttar Pradesh, India"
NCT02091193,Effects of Krill Oil on Endothelial Function in Patients With Type 2 Diabetes Mellitus,COMPLETED,Type II Diabetes Mellitus,DIETARY_SUPPLEMENT: Krill Oil (Supplement A)|DIETARY_SUPPLEMENT: Placebo (Supplement B),Danbury Hospital,Prograde Nutrition,ALL,"ADULT, OLDER_ADULT",,47,OTHER,OBSERVATIONAL,Observational Model: COHORT | Time Perspective: PROSPECTIVE,2012-03,2013-12,2013-12,19-03-2014,10-08-2016,"Danbury Hospital, Danbury, Connecticut, 06810, United States"
NCT02805361,Real World Assessment of Clinical Outcome Changes -Including Month of Ramadan-for Dapagliflozin in Management of Type II Diabetes Mellitus,COMPLETED,Type II Diabetes Mellitus,,AstraZeneca,,ALL,"ADULT, OLDER_ADULT",,511,INDUSTRY,OBSERVATIONAL,Observational Model: COHORT | Time Perspective: PROSPECTIVE,21-08-2016,13-07-2018,13-07-2018,20-06-2016,15-07-2019,"Research Site, Kuwait City, Kuwait|Research Site, Abu Dhabi, United Arab Emirates|Research Site, Ajman, United Arab Emirates|Research Site, Dubai, United Arab Emirates"
